index,positive_score,tags,is_controversial,text
0,0.9,"['希望', '自由']",False,恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》
0,0.3,"['社会体制', '体制化', '批判']",True,恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》
0,0.7,['重温'],False,恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》
0,0.7,"['推荐', '希望']",False,恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》
0,0.9,"['希望', '救赎']",False,恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》
0,0.2,"['民族情绪', '评分']",True,恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》
0,1.0,"['反思', '经典', '第一']",False,恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》
1,0.9,"['希望', '经典', '完美']",False,当年的奥斯卡颁奖礼上，被如日中天的《阿甘正传》掩盖了它的光彩，而随着时间的推移，这部电影在越来越多的人们心中的地位已超越了《阿甘》。每当现实令我疲惫得产生无力感，翻出这张碟，就重获力量。毫无疑问，本片位列男人必看的电影前三名！回顾那一段经典台词：“有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！”
1,1.0,"['伟大', '经典', '希望']",False,当年的奥斯卡颁奖礼上，被如日中天的《阿甘正传》掩盖了它的光彩，而随着时间的推移，这部电影在越来越多的人们心中的地位已超越了《阿甘》。每当现实令我疲惫得产生无力感，翻出这张碟，就重获力量。毫无疑问，本片位列男人必看的电影前三名！回顾那一段经典台词：“有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！”
1,0.9,"['自由', '希望', '经典']",False,当年的奥斯卡颁奖礼上，被如日中天的《阿甘正传》掩盖了它的光彩，而随着时间的推移，这部电影在越来越多的人们心中的地位已超越了《阿甘》。每当现实令我疲惫得产生无力感，翻出这张碟，就重获力量。毫无疑问，本片位列男人必看的电影前三名！回顾那一段经典台词：“有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！”
1,0.9,"['原著', '好看']",False,当年的奥斯卡颁奖礼上，被如日中天的《阿甘正传》掩盖了它的光彩，而随着时间的推移，这部电影在越来越多的人们心中的地位已超越了《阿甘》。每当现实令我疲惫得产生无力感，翻出这张碟，就重获力量。毫无疑问，本片位列男人必看的电影前三名！回顾那一段经典台词：“有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！”
1,0.1,"['不喜欢', '差评']",False,当年的奥斯卡颁奖礼上，被如日中天的《阿甘正传》掩盖了它的光彩，而随着时间的推移，这部电影在越来越多的人们心中的地位已超越了《阿甘》。每当现实令我疲惫得产生无力感，翻出这张碟，就重获力量。毫无疑问，本片位列男人必看的电影前三名！回顾那一段经典台词：“有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！”
1,1.0,"['希望', '经典台词']",False,当年的奥斯卡颁奖礼上，被如日中天的《阿甘正传》掩盖了它的光彩，而随着时间的推移，这部电影在越来越多的人们心中的地位已超越了《阿甘》。每当现实令我疲惫得产生无力感，翻出这张碟，就重获力量。毫无疑问，本片位列男人必看的电影前三名！回顾那一段经典台词：“有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！”
1,1.0,"['经典', '力量', '奥斯卡']",False,当年的奥斯卡颁奖礼上，被如日中天的《阿甘正传》掩盖了它的光彩，而随着时间的推移，这部电影在越来越多的人们心中的地位已超越了《阿甘》。每当现实令我疲惫得产生无力感，翻出这张碟，就重获力量。毫无疑问，本片位列男人必看的电影前三名！回顾那一段经典台词：“有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！”
2,0.7,"['策划', '私奔']",False,策划了19年的私奔……
2,0.9,"['振奋', '正面']",False,策划了19年的私奔……
2,0.7,"['隐喻', '社会']",True,策划了19年的私奔……
2,0.6,"['好看', '评分夸大']",True,策划了19年的私奔……
2,0.9,"['经典', '重温']",False,策划了19年的私奔……
2,0.8,"['自由', '学习', '震撼']",False,策划了19年的私奔……
2,0.9,"['画面', '色彩']",False,策划了19年的私奔……
3,0.9,"['希望', '自由', '灵魂']",False,关于希望最强有力的注释。
3,1.0,"['经典', '梦想', '救赎']",False,关于希望最强有力的注释。
3,1.0,"['希望', '知识', '热爱生活']",False,关于希望最强有力的注释。
3,0.9,"['救赎', '自由', '希望']",False,关于希望最强有力的注释。
3,0.8,"['希望', '隐喻']",False,关于希望最强有力的注释。
3,0.1,"['高估', '批评']",True,关于希望最强有力的注释。
3,0.9,"['希望', '注释']",False,关于希望最强有力的注释。
4,0.9,"['希望', '经典', '温馨']",False,"“这是一部男人必看的电影。”人人都这么说。但单纯从性别区分，就会让这电影变狭隘。《肖申克的救赎》突破了男人电影的局限，通篇几乎充满令人难以置信的温馨基调，而电影里最伟大的主题是“希望”。
当我们无奈地遇到了如同肖申克一般囚禁了心灵自由的那种囹圄，我们是无奈的老布鲁克，灰心的瑞德，还是智慧的安迪？运用智慧，信任希望，并且勇敢面对恐惧心理，去打败它？
经典的电影之所以经典，因为他们都在做同一件事——让你从不同的角度来欣赏希望的美好。"
